id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3aV2YVTfCSQ5loBqztH9Nu,Lock In - Club Mix,0,309120,0,['Paul Parsons'],['1F3MFimptNX75vpIIV6F0O'],1/15/2021,0.728,0.941,11,-5.501,0,0.0548,0.000256,0.485,0.0469,0.897,124.981,4
5GFwJHucflHj46Hwet6qvc,Cool - Leonardo La Mark Remix,0,361967,0,"['Spooner Street', 'Rio Dela Duna', 'Leonardo La Mark']","['69Jnii2nKzGXwTz2CNR82H', '5McLuoTfnILw7AYs1IQjAj', '4Eo43kyUrYaUfZxIVqN0EE']",1/15/2021,0.987,0.649,9,-6.727,1,0.277,0.000626,0.379,0.0686,0.458,122.002,4
4hSJUp6k7QeHLxU32MrLIU,Ohne Dich,81,125720,1,"['KASIMIR1441', 'badmÃ³mzjay', 'WILDBWOYS']","['7ADRm1oT7VmhRRZrZqycV6', '7oWrEQO1d3klp0Qrfh7a5h', '44yXVrsMTsKGUBHZsYFZNq']",1/14/2021,0.807,0.535,11,-6.519,0,0.349,0.191,0,0.125,0.925,156.013,4
4J1Xxrqi4YEhclPzYbvo6V,La Neta,76,174545,0,['Lenny TavÃ¡rez'],['1pQWsZQehhS4wavwh7Fnxd'],1/14/2021,0.812,0.774,11,-2.081,0,0.275,0.134,0.00039,0.108,0.742,175.84,4
1vucS7X4otbyQSZ9RXYXFI,ANTES QUE SALGA EL SOL,75,183926,0,"['Natti Natasha', 'Prince Royce']","['1GDbiv3spRmZ1XdM1jQbT7', '3MHaV05u0io8fQbZ2XPtlC']",1/14/2021,0.623,0.703,8,-5.296,1,0.202,0.0856,0,0.246,0.585,170.059,4
77Bt2DXJE1R1qsnm4D10Ox,Breakups,75,223129,0,['Seaforth'],['1ryJB2bhfYjjIt8kqy4BoG'],1/14/2021,0.531,0.552,1,-5.945,1,0.0309,0.436,0,0.0786,0.328,74.931,3
7fuvhZxxLou4qRRo4Z63wE,Ale jazz!,73,187545,0,"['sanah', 'Vito Bambino']","['0TMvoNR0AIJV138mHY6jdE', '5XGkLMcwitYFdwroktQs7o']",1/14/2021,0.662,0.649,0,-5.647,0,0.0739,0.429,0.0273,0.117,0.931,206.042,4
2eCSMPxV5U3MdqiXDELLRc,KASSAV (feat. Tiakola),71,211227,0,"['Gazo', 'Tiakola']","['5gqmbbfjcikQBzPB5Hv13I', '3vUMXQ9kPnZAQkMkZZ7Hfh']",1/14/2021,0.76,0.518,6,-9.797,0,0.33,0.64,6.84E-06,0.278,0.781,144.084,4
3N3W8ZX1bFJsiI8VJmdMbT,IL MIO AMICO (feat. Fabri Fibra),68,209045,0,"['Madame', 'Fabri Fibra']","['1vgQksyJ0IVz8y9XerEOy3', '7u710e44HW3K7A5eTnRqHC']",1/14/2021,0.669,0.881,6,-4.025,0,0.0584,0.0119,0,0.122,0.702,109.961,4
0BNaXcSSUeuARA4W8iB18E,Pezzo Di Cuore (con Alessandra Amoroso),68,227679,0,"['Emma', 'Alessandra Amoroso']","['0gzwXezN4IUHAwLufA6YcX', '2pjb5ffSoVTr5lRYQXlnPu']",1/14/2021,0.518,0.7,6,-6.162,1,0.0449,0.389,0,0.127,0.441,139.874,4
7lV0M6ulaapTNZJzx8stw0,Starlight,68,263348,0,['CHA NI (SF9)'],['3lrh60OfdaOmmHPQ15wHx8'],1/14/2021,0.452,0.494,1,-5.773,1,0.0298,0.222,0,0.118,0.153,131.806,4
4ztkWLky8oMwqu2fSLRfwg,Ut Av MÃ¸rket,67,173226,0,['TIX'],['6CawoDDP1IZUSGl4wSJGC9'],1/14/2021,0.554,0.613,8,-5.384,1,0.0267,0.0437,0,0.159,0.177,93.039,4
2VnNaJFGInEJ0R5GkSQ7IP,Se PicÃ³,66,139431,0,"['#TocoParaVos', 'El Reja', 'Marka Akme']","['4PdggFNYwGfjRfkdG5OfES', '7HSeegdmjLYRJpkOYIaZIW', '4SgKWjM7cJDCh2aY9H4HZf']",1/14/2021,0.62,0.59,0,-5.511,0,0.0532,0.229,0,0.0693,0.863,180.143,4
4gg0IZDrxQUMzpyLIxF9qI,MONUMENT,66,185328,0,['KEiiNO'],['0chh7dlaUzEreDTulHiOlm'],1/14/2021,0.551,0.855,6,-3.965,0,0.0456,0.125,0,0.124,0.571,125.042,4
2fCdtNreNptDAZnisSOLpX,Dragon Roll,66,156632,1,['Frenna'],['6m1LYS5NQonxjOcQFPQOb5'],1/14/2021,0.839,0.72,4,-4.288,0,0.0459,0.0533,0.00379,0.0612,0.826,95.03,4
6OqGa8qpssC8tkbaeAUe10,Comerte Entera,65,174481,0,"['C. Tangana', 'Toquinho']","['5TYxZTjIPqKM8K8NuP9woO', '7rPqFVgJYARiFsLDlN6W6y']",1/14/2021,0.801,0.399,2,-7.296,0,0.107,0.529,1.50E-06,0.239,0.359,124.049,4
5Hplvh1ZoVp6SNPvLIpcgS,vija vija,64,193173,0,['Dardan'],['3pjq2pDV9RR6VY55wBjVnp'],1/14/2021,0.73,0.479,2,-10.202,1,0.0428,0.475,0,0.125,0.116,115.007,4
4sFDPk9PwpHWDcXN8rY2oA,I Love You,63,180764,0,"['Teflon Brothers', 'Pandora']","['3zh3U2eQ64EhBFbJuxgf1M', '3X8tqA34H3odz1gCCHxrzc']",1/14/2021,0.536,0.887,1,-5.402,0,0.031,0.000188,0.00674,0.159,0.514,165.027,4
