Artist.Followers,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,explicit,mode,instrumentalness,time_signature,Key
15889,0.631,0.861,-1.891,0.0424,0.427,0.215,149.95,173038,0.822,FALSE,0,0.000119,4,11
12169108,0.664,0.705,-4.972,0.0382,0.0654,0.115,122.017,257840,0.477,FALSE,0,0,4,1
31151294,0.429,0.661,-7.227,0.0281,0.00239,0.234,173.372,266773,0.285,FALSE,1,0.000121,4,11
205590,0.843,0.534,-6.658,0.142,0.467,0.0984,94.984,173053,0.528,FALSE,0,0,4,1
409173,0.667,0.899,-4.402,0.0322,0.423,0.332,147.962,239928,0.835,FALSE,0,0.0000184,4,11
20270895,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08,247427,0.643,FALSE,1,0.0012,4,2
77034,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672,0.872,FALSE,0,0.0000236,4,6
1250353,0.808,0.66,-6.237,0.0395,0.0358,0.138,107.994,235556,0.804,FALSE,0,0,4,0
6837946,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000,0.543,TRUE,1,0.00000159,4,10
1687399,0.521,0.277,-10.34,0.0356,0.634,0.103,115.01,248827,0.13,FALSE,1,0.0000707,4,11
7593046,0.933,0.656,-5.85,0.322,0.129,0.161,119.987,159083,0.934,TRUE,1,0,4,2
7593046,0.902,0.669,-5.049,0.457,0.161,0.0728,139.949,112547,0.628,TRUE,1,0,4,1
19085118,0.511,0.566,-7.23,0.2,0.349,0.34,83.903,239836,0.218,TRUE,0,0,4,6
3553442,0.907,0.393,-7.636,0.0539,0.451,0.135,104.949,205458,0.202,TRUE,0,0.00000135,4,4
1250353,0.701,0.425,-10.965,0.375,0.328,0.1,135.128,194088,0.562,FALSE,1,0.13,4,7
11477164,0.476,0.594,-6.879,0.135,0.0599,0.0785,159.702,141050,0.314,FALSE,1,0,4,5
6837946,0.823,0.586,-6.606,0.2,0.114,0.193,125.971,190476,0.347,TRUE,0,0,4,6
6266514,0.473,0.203,-12.627,0.102,0.941,0.126,168.884,163587,0.419,TRUE,1,0,4,2
17353707,0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073,187541,0.357,TRUE,1,0,4,1
6118063,0.356,0.924,-3.74,0.0808,0.00101,0.0953,148.017,222587,0.232,FALSE,1,0,4,1
4339245,0.82,0.452,-9.796,0.0348,0.543,0.0714,117.401,253920,0.74,FALSE,1,0.00294,4,1
6930669,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800,0.789,FALSE,1,0.00428,4,0
8441598,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043,211467,0.494,FALSE,1,0,4,10
1304510,0.74,0.576,-6.744,0.146,0.0249,0.104,110.095,209476,0.315,TRUE,0,0,4,6
6837946,0.716,0.67,-6.995,0.101,0.526,0.13,145.043,203586,0.411,TRUE,0,0,4,0
6837946,0.675,0.608,-6.934,0.103,0.336,0.11,99.865,184800,0.728,TRUE,0,0,4,3
924083,0.726,0.431,-8.765,0.135,0.731,0.696,144.026,173333,0.348,FALSE,0,0,4,8
8148393,0.595,0.759,-4.245,0.0423,0.141,0.172,80.953,163733,0.515,FALSE,0,0,4,11
35888760,0.933,0.528,-6.472,0.162,0.112,0.163,109.975,214653,0.756,FALSE,0,0.329,4,5
56308172,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967,173987,0.37,FALSE,1,0.0018,4,1
16112621,0.676,0.771,-3.675,0.0483,0.0237,0.102,99.048,207133,0.569,FALSE,1,0.000007,4,8
180723,0.422,0.25,-6.836,0.0351,0.441,0.35,124.026,161613,0.246,FALSE,1,0,4,0
304995,0.649,0.76,-6.487,0.0574,0.114,0.317,80.018,161853,0.843,FALSE,1,0,4,1
6080597,0.765,0.625,-3.599,0.0548,0.584,0.112,102.101,164706,0.262,TRUE,0,0.00111,4,9
5799137,0.422,0.264,-7.064,0.0322,0.922,0.132,119.93,269560,0.331,FALSE,1,0,4,8
4840346,0.832,0.534,-7.813,0.253,0.345,0.165,93.924,132833,0.116,TRUE,0,0,4,1
6837946,0.548,0.805,-5.732,0.351,0.212,0.408,142.094,216387,0.648,TRUE,1,0.000389,4,7
1254432,0.84,0.766,-4.12,0.136,0.00302,0.0684,94.018,155884,0.402,TRUE,1,0.00000361,4,4
35305637,0.585,0.564,-7.063,0.0515,0.0671,0.135,113.003,242253,0.137,TRUE,0,0,4,0
5881963,0.436,0.655,-8.37,0.0583,0.499,0.688,121.002,279204,0.412,TRUE,0,0.0000081,4,1
8148393,0.638,0.878,-3.639,0.0484,0.0151,0.308,103.948,176800,0.481,FALSE,0,0.000223,4,5
36142273,0.592,0.494,-10.618,0.0747,0.237,0.13,132.037,209771,0.231,FALSE,0,0,4,4
67158068,0.778,0.317,-10.732,0.334,0.592,0.0881,140.048,178627,0.327,TRUE,0,0,4,1
167628,0.571,0.767,-5.16,0.287,0.336,0.0809,93.421,161684,0.605,TRUE,1,0,4,2
130627,0.525,0.448,-4.075,0.0443,0.14,0.0922,83.406,140308,0.527,TRUE,0,0,4,1
151832,0.789,0.72,-5.652,0.218,0.223,0.129,122.031,166794,0.664,FALSE,0,0,4,8
1909059,0.43,0.467,-8.56,0.051,0.775,0.0933,77.249,186121,0.382,FALSE,0,0,4,8
6603627,0.643,0.403,-11.254,0.41,0.343,0.138,98.54,174682,0.111,TRUE,0,0,4,1
1427540,0.961,0.502,-8.605,0.312,0.28,0.145,117.078,182285,0.536,TRUE,1,0,4,2
46785561,0.949,0.661,-4.244,0.0572,0.0302,0.0454,104.504,284200,0.76,TRUE,0,0,4,5
6837946,0.662,0.686,-8.302,0.332,0.251,0.349,143.971,215000,0.678,TRUE,1,0.00000559,4,7
6837946,0.563,0.672,-7.226,0.0765,0.359,0.0972,99.772,156000,0.284,TRUE,0,0,4,9
6430522,0.437,0.527,-6.967,0.465,0.185,0.153,187.815,181714,0.701,TRUE,1,0,4,6
6837946,0.628,0.581,-8.377,0.188,0.46,0.152,145.396,120828,0.259,TRUE,1,0,4,2
6837946,0.912,0.589,-7.476,0.2,0.0332,0.0795,135.921,123549,0.486,TRUE,1,0.0162,4,8
2008516,0.356,0.684,-7.347,0.0878,0.152,0.101,87.188,193733,0.347,FALSE,1,0,4,8
6837946,0.441,0.623,-7.331,0.0414,0.135,0.14,78.082,249231,0.285,TRUE,0,0,4,1
6837946,0.723,0.667,-7.524,0.351,0.256,0.261,143.044,208112,0.396,TRUE,1,0,5,2
